transaction_id,date,client_id,client_name,client_tier,account_type,sku,units,gross_sales,discounts,refunds,shipping_revenue,fulfillment_cost,paid_ad_spend,memo
TXN-10036,2025-01-29,CLI-003,Summit Outfitters,Wholesale,Gross Sales,SKU-E505,45,5400.00,540.00,0.00,50.20,95.24,55.45,TikTok Paid Ad
TXN-10037,2025-01-30,CLI-001,Aura Design Co,VIP,Gross Sales,SKU-E505,3,360.00,36.00,0.00,8.54,7.86,54.36,Google Shopping Ad
TXN-10038,2025-01-30,CLI-010,Solstice Corp,Wholesale,Gross Sales,SKU-B202,20,900.00,90.00,0.00,41.98,59.46,29.95,TikTok Paid Ad
TXN-10039,2025-01-31,CLI-004,Nova Retailers,Wholesale,Gross Sales,SKU-C303,16,1200.00,180.00,0.00,108.69,31.12,51.75,Meta Ad Campaign #12
TXN-10040,2025-01-31,CLI-008,Vanguard Supply,Wholesale,Gross Sales,SKU-B202,24,1080.00,108.00,0.00,71.88,49.37,18.12,Quarterly stock order
TXN-10041,2025-02-01,CLI-006,Apex Goods,Standard,Gross Sales,SKU-E505,2,240.00,0.00,0.00,13.77,4.04,23.68,Google Shopping Ad
TXN-10042,2025-02-01,CLI-005,Lumina Living,VIP,Gross Sales,SKU-D404,4,360.00,36.00,0.00,9.36,13.87,20.20,Organic search referral
TXN-10043,2025-02-02,CLI-004,Nova Retailers,Wholesale,Gross Sales,SKU-C303,10,750.00,150.00,0.00,94.95,33.81,48.17,Direct Web
TXN-10044,2025-02-02,CLI-004,Nova Retailers,Wholesale,Gross Sales,SKU-C303,31,2325.00,465.00,0.00,93.07,54.23,55.50,Organic search referral
TXN-10045,2025-02-03,CLI-007,Beacon Direct,VIP,Gross Sales,SKU-A101,6,480.00,48.00,0.00,6.92,16.98,32.06,Email Newsletter Conversion
TXN-10046,2025-02-04,CLI-003,Summit Outfitters,Wholesale,Gross Sales,SKU-A101,45,3600.00,360.00,0.00,62.95,106.19,41.10,Wholesale recurring contract
TXN-10047,2025-02-04,CLI-006,Apex Goods,Standard,Gross Sales,SKU-B202,2,90.00,0.00,0.00,11.59,4.14,25.92,Email Newsletter Conversion
TXN-10048,2025-02-05,CLI-002,Urban Pulse,Standard,Gross Sales,SKU-B202,1,45.00,0.00,0.00,5.24,1.99,20.83,Email Newsletter Conversion
TXN-10049,2025-02-06,CLI-002,Urban Pulse,Standard,Gross Sales,SKU-B202,3,135.00,0.00,0.00,9.00,5.39,26.57,PPC High CAC Campaign
TXN-10050,2025-02-06,CLI-002,Urban Pulse,Standard,Gross Sales,SKU-E505,2,240.00,12.00,0.00,14.17,3.49,11.60,Quarterly stock order
TXN-10051,2025-02-07,CLI-009,Echo Market,Standard,Gross Sales,SKU-D404,3,270.00,0.00,0.00,9.27,9.94,20.04,Direct Web
TXN-10052,2025-02-08,CLI-008,Vanguard Supply,Wholesale,Gross Sales,SKU-C303,50,3750.00,562.50,0.00,78.77,98.92,34.79,Direct Web
TXN-10053,2025-02-09,CLI-004,Nova Retailers,Wholesale,Gross Sales,SKU-C303,44,3300.00,330.00,0.00,52.07,99.71,21.88,Email Newsletter Conversion
TXN-10054,2025-02-09,CLI-004,Nova Retailers,Wholesale,Gross Sales,SKU-C303,44,3300.00,495.00,0.00,44.98,139.29,32.53,TikTok Paid Ad
TXN-10055,2025-02-10,CLI-001,Aura Design Co,VIP,Gross Sales,SKU-E505,5,600.00,60.00,0.00,5.06,11.02,48.91,PPC High CAC Campaign
TXN-10056,2025-02-10,CLI-007,Beacon Direct,VIP,Gross Sales,SKU-A101,8,640.00,64.00,0.00,13.98,19.81,27.28,Influencer Promo
TXN-10057,2025-02-11,CLI-007,Beacon Direct,VIP,Gross Sales,SKU-A101,5,400.00,40.00,0.00,13.41,16.70,59.13,Email Newsletter Conversion
TXN-10058,2025-02-12,CLI-007,Beacon Direct,VIP,Gross Sales,SKU-A101,2,160.00,16.00,0.00,6.36,4.85,17.26,TikTok Paid Ad
TXN-10059,2025-02-13,CLI-004,Nova Retailers,Wholesale,Gross Sales,SKU-C303,34,2550.00,382.50,0.00,60.18,56.57,15.87,TikTok Paid Ad
TXN-10060,2025-02-14,CLI-006,Apex Goods,Standard,Gross Sales,SKU-A101,1,80.00,0.00,0.00,13.39,2.74,14.44,Quarterly stock order
TXN-10061,2025-02-15,CLI-002,Urban Pulse,Standard,Gross Sales,SKU-B202,2,90.00,4.50,0.00,14.64,5.87,29.00,Influencer Promo
TXN-10062,2025-02-16,CLI-005,Lumina Living,VIP,Gross Sales,SKU-D404,4,360.00,36.00,0.00,11.77,13.67,32.85,Influencer Promo
TXN-10063,2025-02-17,CLI-002,Urban Pulse,Standard,Gross Sales,SKU-B202,3,135.00,0.00,0.00,13.06,9.28,23.28,Influencer Promo
TXN-10064,2025-02-17,CLI-001,Aura Design Co,VIP,Gross Sales,SKU-E505,4,480.00,48.00,0.00,10.06,8.73,53.23,Google Shopping Ad
TXN-10065,2025-02-18,CLI-002,Urban Pulse,Standard,Gross Sales,SKU-D404,3,270.00,13.50,0.00,12.34,10.29,15.29,Email Newsletter Conversion
TXN-10066,2025-02-18,CLI-009,Echo Market,Standard,Gross Sales,SKU-E505,2,240.00,0.00,0.00,13.31,3.35,31.80,Quarterly stock order
TXN-10067,2025-02-19,CLI-008,Vanguard Supply,Wholesale,Gross Sales,SKU-C303,31,2325.00,232.50,0.00,108.08,57.77,24.55,PPC High CAC Campaign
TXN-10068,2025-02-20,CLI-006,Apex Goods,Standard,Gross Sales,SKU-E505,1,120.00,0.00,0.00,5.86,2.94,21.19,Quarterly stock order
TXN-10069,2025-02-20,CLI-004,Nova Retailers,Wholesale,Gross Sales,SKU-C303,41,3075.00,461.25,0.00,47.44,79.67,46.13,Meta Ad Campaign #12
TXN-10070,2025-02-21,CLI-010,Solstice Corp,Wholesale,Gross Sales,SKU-C303,32,2400.00,360.00,0.00,66.46,92.98,27.19,Direct Web
TXN-10071,2025-02-22,CLI-002,Urban Pulse,Standard,Gross Sales,SKU-B202,3,135.00,6.75,0.00,12.39,6.16,23.92,Quarterly stock order
TXN-10072,2025-02-23,CLI-010,Solstice Corp,Wholesale,Gross Sales,SKU-C303,22,1650.00,247.50,0.00,68.87,46.30,46.86,Quarterly stock order
TXN-10073,2025-02-23,CLI-003,Summit Outfitters,Wholesale,Gross Sales,SKU-E505,28,3360.00,672.00,0.00,91.03,84.16,19.62,Email Newsletter Conversion
TXN-10074,2025-02-24,CLI-005,Lumina Living,VIP,Gross Sales,SKU-D404,3,270.00,27.00,0.00,7.52,9.67,20.13,Meta Ad Campaign #12
TXN-10075,2025-02-25,CLI-008,Vanguard Supply,Wholesale,Gross Sales,SKU-C303,13,975.00,97.50,0.00,104.89,44.18,18.83,Email Newsletter Conversion
TXN-10076,2025-02-26,CLI-009,Echo Market,Standard,Gross Sales,SKU-B202,1,45.00,0.00,0.00,9.51,2.39,31.22,TikTok Paid Ad
TXN-10077,2025-02-27,CLI-005,Lumina Living,VIP,Gross Sales,SKU-D404,7,630.00,63.00,0.00,14.48,13.41,24.50,Google Shopping Ad
TXN-10078,2025-02-27,CLI-002,Urban Pulse,Standard,Refunds,SKU-B202,1,0.00,0.00,45.00,0.00,2.47,0.00,Item damaged in transport
TXN-10079,2025-02-28,CLI-010,Solstice Corp,Wholesale,Gross Sales,SKU-C303,28,2100.00,420.00,0.00,96.24,67.43,45.93,Wholesale recurring contract
TXN-10080,2025-03-01,CLI-010,Solstice Corp,Wholesale,Gross Sales,SKU-D404,17,1530.00,306.00,0.00,91.81,56.39,52.20,Quarterly stock order
TXN-10081,2025-03-01,CLI-002,Urban Pulse,Standard,Refunds,SKU-B202,2,0.00,0.00,90.00,0.00,3.32,0.00,Item damaged in transport
TXN-10082,2025-03-02,CLI-007,Beacon Direct,VIP,Gross Sales,SKU-A101,5,400.00,40.00,0.00,5.80,7.90,34.44,PPC High CAC Campaign
TXN-10083,2025-03-03,CLI-005,Lumina Living,VIP,Gross Sales,SKU-D404,7,630.00,63.00,0.00,10.87,10.79,49.41,Influencer Promo
TXN-10084,2025-03-04,CLI-010,Solstice Corp,Wholesale,Gross Sales,SKU-C303,40,3000.00,600.00,0.00,113.29,74.52,41.34,PPC High CAC Campaign
TXN-10085,2025-03-04,CLI-008,Vanguard Supply,Wholesale,Gross Sales,SKU-C303,36,2700.00,405.00,0.00,93.61,115.76,29.84,Organic search referral
TXN-10086,2025-03-05,CLI-005,Lumina Living,VIP,Gross Sales,SKU-D404,8,720.00,72.00,0.00,5.37,13.41,26.36,Direct Web
TXN-10087,2025-03-06,CLI-007,Beacon Direct,VIP,Gross Sales,SKU-A101,7,560.00,56.00,0.00,9.62,11.26,38.33,Direct Web
TXN-10088,2025-03-07,CLI-008,Vanguard Supply,Wholesale,Gross Sales,SKU-C303,23,1725.00,258.75,0.00,50.48,47.75,54.64,Direct Web
TXN-10089,2025-03-08,CLI-001,Aura Design Co,VIP,Gross Sales,SKU-E505,3,360.00,36.00,0.00,8.11,4.58,33.36,Email Newsletter Conversion
TXN-10090,2025-03-09,CLI-002,Urban Pulse,Standard,Gross Sales,SKU-D404,3,270.00,13.50,0.00,9.15,7.39,20.75,Wholesale recurring contract
TXN-10091,2025-03-10,CLI-003,Summit Outfitters,Wholesale,Gross Sales,SKU-E505,18,2160.00,216.00,0.00,101.81,57.76,30.29,Wholesale recurring contract
TXN-10092,2025-03-11,CLI-005,Lumina Living,VIP,Gross Sales,SKU-D404,4,360.00,36.00,0.00,10.80,11.28,53.94,Influencer Promo
TXN-10093,2025-03-11,CLI-008,Vanguard Supply,Wholesale,Gross Sales,SKU-C303,45,3375.00,675.00,0.00,76.43,96.46,23.49,TikTok Paid Ad
TXN-10094,2025-03-12,CLI-010,Solstice Corp,Wholesale,Gross Sales,SKU-D404,12,1080.00,162.00,0.00,96.42,37.47,32.37,PPC High CAC Campaign
TXN-10095,2025-03-13,CLI-003,Summit Outfitters,Wholesale,Gross Sales,SKU-A101,42,3360.00,672.00,0.00,109.58,136.43,34.81,Organic search referral
TXN-10096,2025-03-14,CLI-008,Vanguard Supply,Wholesale,Refunds,SKU-C303,1,0.00,0.00,75.00,0.00,2.22,0.00,Customer dissatisfied SKU-B202
TXN-10097,2025-03-15,CLI-007,Beacon Direct,VIP,Gross Sales,SKU-E505,5,600.00,60.00,0.00,11.27,16.37,36.96,Organic search referral
TXN-10098,2025-03-16,CLI-010,Solstice Corp,Wholesale,Gross Sales,SKU-C303,28,2100.00,210.00,0.00,74.72,47.51,43.52,Google Shopping Ad
TXN-10099,2025-03-17,CLI-008,Vanguard Supply,Wholesale,Gross Sales,SKU-C303,11,825.00,82.50,0.00,103.69,22.95,31.87,Organic search referral
TXN-10100,2025-03-17,CLI-003,Summit Outfitters,Wholesale,Gross Sales,SKU-A101,21,1680.00,168.00,0.00,46.32,68.08,42.89,Email Newsletter Conversion
TXN-10101,2025-03-18,CLI-010,Solstice Corp,Wholesale,Gross Sales,SKU-C303,26,1950.00,292.50,0.00,93.35,85.74,35.94,Wholesale recurring contract
TXN-10102,2025-03-19,CLI-009,Echo Market,Standard,Refunds,SKU-B202,2,0.00,0.00,90.00,0.00,4.96,0.00,Customer dissatisfied SKU-B202
TXN-10103,2025-03-20,CLI-007,Beacon Direct,VIP,Gross Sales,SKU-A101,4,320.00,32.00,0.00,14.99,12.83,19.80,Quarterly stock order
TXN-10104,2025-03-21,CLI-006,Apex Goods,Standard,Gross Sales,SKU-B202,3,135.00,0.00,0.00,10.66,8.61,28.11,Meta Ad Campaign #12
TXN-10105,2025-03-22,CLI-010,Solstice Corp,Wholesale,Gross Sales,SKU-C303,24,1800.00,360.00,0.00,57.52,45.13,26.28,Organic search referral
TXN-10106,2025-03-23,CLI-003,Summit Outfitters,Wholesale,Gross Sales,SKU-A101,29,2320.00,348.00,0.00,86.37,85.98,19.06,Meta Ad Campaign #12
TXN-10107,2025-03-23,CLI-005,Lumina Living,VIP,Gross Sales,SKU-D404,3,270.00,27.00,0.00,12.87,9.76,31.46,Email Newsletter Conversion
TXN-10108,2025-03-24,CLI-005,Lumina Living,VIP,Gross Sales,SKU-D404,8,720.00,72.00,0.00,14.67,16.72,54.17,PPC High CAC Campaign
TXN-10109,2025-03-25,CLI-008,Vanguard Supply,Wholesale,Gross Sales,SKU-C303,24,1800.00,360.00,0.00,117.38,74.62,31.46,TikTok Paid Ad
TXN-10110,2025-03-25,CLI-007,Beacon Direct,VIP,Refunds,SKU-A101,2,0.00,0.00,160.00,0.00,3.11,0.00,Customer dissatisfied SKU-B202
TXN-10111,2025-03-26,CLI-006,Apex Goods,Standard,Refunds,SKU-B202,1,0.00,0.00,45.00,0.00,3.86,0.00,Refund SKU-B202 quality issue
TXN-10112,2025-03-27,CLI-010,Solstice Corp,Wholesale,Gross Sales,SKU-C303,39,2925.00,585.00,0.00,91.94,67.60,17.04,Wholesale recurring contract
TXN-10113,2025-03-28,CLI-008,Vanguard Supply,Wholesale,Gross Sales,SKU-C303,44,3300.00,330.00,0.00,76.29,125.00,48.44,TikTok Paid Ad
TXN-10114,2025-03-29,CLI-007,Beacon Direct,VIP,Gross Sales,SKU-A101,5,400.00,40.00,0.00,13.34,13.66,57.26,Google Shopping Ad
TXN-10115,2025-03-29,CLI-005,Lumina Living,VIP,Gross Sales,SKU-D404,5,450.00,45.00,0.00,14.51,16.05,19.47,PPC High CAC Campaign
TXN-10116,2025-03-30,CLI-009,Echo Market,Standard,Gross Sales,SKU-B202,2,90.00,4.50,0.00,14.49,6.30,10.48,Google Shopping Ad
TXN-10117,2025-03-31,CLI-010,Solstice Corp,Wholesale,Gross Sales,SKU-C303,31,2325.00,232.50,0.00,102.96,59.22,52.34,Email Newsletter Conversion
TXN-10118,2025-04-01,CLI-010,Solstice Corp,Wholesale,Gross Sales,SKU-C303,19,1425.00,285.00,0.00,62.18,65.89,59.44,Meta Ad Campaign #12
TXN-10119,2025-04-02,CLI-003,Summit Outfitters,Wholesale,Gross Sales,SKU-B202,10,450.00,67.50,0.00,87.11,15.32,26.94,Quarterly stock order
TXN-10120,2025-04-03,CLI-007,Beacon Direct,VIP,Gross Sales,SKU-A101,5,400.00,40.00,0.00,12.78,12.63,19.91,PPC High CAC Campaign
TXN-10121,2025-04-04,CLI-010,Solstice Corp,Wholesale,Gross Sales,SKU-C303,43,3225.00,483.75,0.00,91.47,67.18,59.94,PPC High CAC Campaign
TXN-10122,2025-04-05,CLI-007,Beacon Direct,VIP,Gross Sales,SKU-A101,5,400.00,40.00,0.00,13.99,10.72,21.68,Google Shopping Ad
TXN-10123,2025-04-05,CLI-003,Summit Outfitters,Wholesale,Gross Sales,SKU-A101,45,3600.00,720.00,0.00,70.47,121.27,28.27,Organic search referral
TXN-10124,2025-04-06,CLI-007,Beacon Direct,VIP,Gross Sales,SKU-A101,8,640.00,64.00,0.00,12.21,15.44,35.32,Direct Web
TXN-10125,2025-04-07,CLI-006,Apex Goods,Standard,Gross Sales,SKU-B202,2,90.00,0.00,0.00,8.74,3.61,32.92,Wholesale recurring contract
TXN-10126,2025-04-08,CLI-002,Urban Pulse,Standard,Refunds,SKU-B202,2,0.00,0.00,90.00,0.00,4.44,0.00,Refund SKU-B202 quality issue
TXN-10127,2025-04-09,CLI-009,Echo Market,Standard,Gross Sales,SKU-B202,3,135.00,0.00,0.00,13.68,8.83,34.15,TikTok Paid Ad
TXN-10128,2025-04-10,CLI-006,Apex Goods,Standard,Refunds,SKU-B202,1,0.00,0.00,45.00,0.00,3.97,0.00,Defective item return - High SKU-B202 return rate
TXN-10129,2025-04-11,CLI-006,Apex Goods,Standard,Gross Sales,SKU-B202,3,135.00,6.75,0.00,13.45,10.35,30.10,TikTok Paid Ad
TXN-10130,2025-04-11,CLI-010,Solstice Corp,Wholesale,Gross Sales,SKU-C303,48,3600.00,720.00,0.00,42.32,98.23,49.31,Wholesale recurring contract
TXN-10131,2025-04-12,CLI-006,Apex Goods,Standard,Refunds,SKU-E505,2,0.00,0.00,240.00,0.00,2.21,0.00,Customer return - sizing issue
TXN-10132,2025-04-12,CLI-002,Urban Pulse,Standard,Gross Sales,SKU-B202,2,90.00,4.50,0.00,12.22,6.11,23.33,Wholesale recurring contract
TXN-10133,2025-04-13,CLI-001,Aura Design Co,VIP,Gross Sales,SKU-E505,2,240.00,24.00,0.00,7.72,5.65,36.85,Google Shopping Ad
TXN-10134,2025-04-14,CLI-005,Lumina Living,VIP,Gross Sales,SKU-D404,4,360.00,36.00,0.00,6.11,11.43,41.69,TikTok Paid Ad
TXN-10135,2025-04-15,CLI-005,Lumina Living,VIP,Gross Sales,SKU-D404,6,540.00,54.00,0.00,5.08,12.62,24.51,Meta Ad Campaign #12
TXN-10136,2025-04-16,CLI-005,Lumina Living,VIP,Gross Sales,SKU-D404,5,450.00,45.00,0.00,6.76,11.30,46.67,TikTok Paid Ad
TXN-10137,2025-04-17,CLI-006,Apex Goods,Standard,Refunds,SKU-A101,2,0.00,0.00,160.00,0.00,2.06,0.00,Customer return - sizing issue
TXN-10138,2025-04-18,CLI-010,Solstice Corp,Wholesale,Gross Sales,SKU-C303,50,3750.00,562.50,0.00,49.21,77.09,29.61,Wholesale recurring contract
TXN-10139,2025-04-18,CLI-010,Solstice Corp,Wholesale,Gross Sales,SKU-C303,33,2475.00,247.50,0.00,107.56,65.56,41.50,TikTok Paid Ad
TXN-10140,2025-04-19,CLI-007,Beacon Direct,VIP,Gross Sales,SKU-A101,3,240.00,24.00,0.00,12.79,4.96,43.50,Organic search referral
TXN-10141,2025-04-20,CLI-004,Nova Retailers,Wholesale,Gross Sales,SKU-C303,19,1425.00,142.50,0.00,51.72,36.00,42.11,Google Shopping Ad
TXN-10142,2025-04-21,CLI-002,Urban Pulse,Standard,Refunds,SKU-B202,2,0.00,0.00,90.00,0.00,3.39,0.00,Refund SKU-B202 quality issue
TXN-10143,2025-04-21,CLI-010,Solstice Corp,Wholesale,Gross Sales,SKU-E505,50,6000.00,1200.00,0.00,109.14,137.72,21.79,Organic search referral
TXN-10144,2025-04-22,CLI-008,Vanguard Supply,Wholesale,Gross Sales,SKU-C303,47,3525.00,352.50,0.00,80.59,99.68,35.34,Organic search referral
TXN-10145,2025-04-23,CLI-005,Lumina Living,VIP,Gross Sales,SKU-A101,6,480.00,48.00,0.00,10.07,14.55,39.94,Influencer Promo
TXN-10146,2025-04-24,CLI-001,Aura Design Co,VIP,Gross Sales,SKU-B202,4,180.00,18.00,0.00,9.76,7.21,17.78,Influencer Promo
TXN-10147,2025-04-24,CLI-002,Urban Pulse,Standard,Gross Sales,SKU-A101,3,240.00,0.00,0.00,7.48,7.13,19.86,Meta Ad Campaign #12
TXN-10148,2025-04-25,CLI-003,Summit Outfitters,Wholesale,Gross Sales,SKU-D404,36,3240.00,486.00,0.00,44.19,99.42,30.06,Influencer Promo
TXN-10149,2025-04-26,CLI-009,Echo Market,Standard,Gross Sales,SKU-B202,3,135.00,0.00,0.00,13.73,6.50,23.73,Influencer Promo
TXN-10150,2025-04-27,CLI-006,Apex Goods,Standard,Gross Sales,SKU-B202,1,45.00,0.00,0.00,8.10,2.25,29.37,Google Shopping Ad
TXN-10151,2025-04-28,CLI-009,Echo Market,Standard,Refunds,SKU-B202,2,0.00,0.00,90.00,0.00,2.05,0.00,Customer dissatisfied SKU-B202
TXN-10152,2025-04-28,CLI-003,Summit Outfitters,Wholesale,Gross Sales,SKU-A101,41,3280.00,328.00,0.00,120.00,74.21,28.31,Quarterly stock order
TXN-10153,2025-04-29,CLI-009,Echo Market,Standard,Gross Sales,SKU-A101,3,240.00,0.00,0.00,6.31,6.76,12.38,Influencer Promo
TXN-10154,2025-04-29,CLI-010,Solstice Corp,Wholesale,Gross Sales,SKU-C303,38,2850.00,285.00,0.00,69.14,111.69,58.63,TikTok Paid Ad
TXN-10155,2025-04-30,CLI-008,Vanguard Supply,Wholesale,Gross Sales,SKU-C303,40,3000.00,300.00,0.00,94.26,105.63,34.83,Organic search referral
TXN-10156,2025-05-01,CLI-007,Beacon Direct,VIP,Gross Sales,SKU-A101,3,240.00,24.00,0.00,13.01,5.33,26.25,Quarterly stock order
TXN-10157,2025-05-01,CLI-008,Vanguard Supply,Wholesale,Gross Sales,SKU-C303,16,1200.00,240.00,0.00,108.09,33.12,49.34,Direct Web
TXN-10158,2025-05-02,CLI-009,Echo Market,Standard,Refunds,SKU-B202,1,0.00,0.00,45.00,0.00,4.45,0.00,Customer dissatisfied SKU-B202
TXN-10159,2025-05-03,CLI-007,Beacon Direct,VIP,Gross Sales,SKU-A101,3,240.00,24.00,0.00,14.95,6.75,16.27,TikTok Paid Ad
TXN-10160,2025-05-03,CLI-002,Urban Pulse,Standard,Gross Sales,SKU-B202,1,45.00,2.25,0.00,11.96,1.78,27.05,PPC High CAC Campaign
TXN-10161,2025-05-04,CLI-001,Aura Design Co,VIP,Gross Sales,SKU-E505,3,360.00,36.00,0.00,10.49,8.86,38.75,Email Newsletter Conversion
TXN-10162,2025-05-05,CLI-005,Lumina Living,VIP,Gross Sales,SKU-D404,3,270.00,27.00,0.00,11.39,8.24,17.83,TikTok Paid Ad
TXN-10163,2025-05-06,CLI-008,Vanguard Supply,Wholesale,Gross Sales,SKU-C303,42,3150.00,630.00,0.00,97.48,87.47,15.07,Quarterly stock order
TXN-10164,2025-05-06,CLI-006,Apex Goods,Standard,Gross Sales,SKU-B202,1,45.00,0.00,0.00,5.68,2.55,21.70,Organic search referral
TXN-10165,2025-05-07,CLI-009,Echo Market,Standard,Refunds,SKU-A101,2,0.00,0.00,160.00,0.00,4.94,0.00,Customer dissatisfied SKU-B202
TXN-10166,2025-05-07,CLI-001,Aura Design Co,VIP,Gross Sales,SKU-E505,3,360.00,36.00,0.00,12.72,8.91,29.96,Google Shopping Ad
